x,y
99.24354,-2.8111303
99.08579,-2.9992967
99.46936,-2.790711
98.81863,-2.7212286
99.24959,-2.476223
99.34158,-3.0353017
99.147316,-2.9248111
99.147316,-2.9248111
99.147316,-2.9248111
99.147316,-2.9248111
98.95175,-3.076872
98.95175,-3.076872
98.95175,-3.076872
98.95175,-3.076872
99.2338,-2.6137228
99.2338,-2.6137228
99.2338,-2.6137228
99.16314,-3.1172366
99.16314,-3.1172366
99.16314,-3.1172366
99.16314,-3.1172366
99.17495,-3.1070154
99.17495,-3.1070154
99.17495,-3.1070154
99.17495,-3.1070154
98.99151,-3.025166
98.99151,-3.025166
98.99151,-3.025166
99.369835,-2.448925
99.534706,-2.1872566
99.534706,-2.1872566
99.510544,-1.8818349
99.38606,-2.2822208
99.502655,-2.396935
99.502655,-2.396935
99.195786,-2.128264
99.21036,-2.1202936
99.39276,-2.4563494
99.17464,-2.0691552
99.39211,-2.432703
99.14651,-1.9979024
99.14651,-1.9979024
99.23728,-2.215279
98.98121,-2.0551188
98.98121,-2.0551188
99.68366,-2.0665383
99.68366,-2.0665383
99.68366,-2.0665383
99.37248,-2.420063
99.37248,-2.420063
99.37248,-2.420063
99.23126,-2.3345475
99.23126,-2.3345475
99.23126,-2.3345475
99.00787,-2.4309647
99.00787,-2.4309647
99.00787,-2.4309647
99.234566,-2.2992125
99.234566,-2.2992125
99.03064,-3.2478352
99.03064,-3.2478352
99.03064,-3.2478352
98.55114,-3.3443391
98.55114,-3.3443391
99.02369,-3.0709505
99.02369,-3.0709505
99.02369,-3.0709505
98.86034,-3.4828122
98.86034,-3.4828122
98.86034,-3.4828122
98.5225,-3.6708264
98.5225,-3.6708264
98.31341,-3.311382
98.31341,-3.311382
98.31341,-3.311382
98.99521,-3.2420557
98.99521,-3.2420557
98.64181,-3.101142
98.64181,-3.101142
98.841866,-3.0876238
99.177025,-2.8931212
99.177025,-2.8931212
98.86202,-2.9004025
98.86202,-2.9004025
99.092636,-2.9845629
99.092636,-2.9845629
99.25439,-2.2340806
99.25439,-2.2340806
99.353065,-2.3252501
99.353065,-2.3252501
99.353065,-2.3252501
99.38018,-2.202435
99.38018,-2.202435
99.150406,-1.9070107
99.150406,-1.9070107
99.58888,-1.9341841
99.58888,-1.9341841
99.446266,-2.2590182
99.446266,-2.2590182
99.446266,-2.2590182
99.07308,-3.2063186
99.07308,-3.2063186
99.01755,-3.1962316
99.01755,-3.1962316
99.01755,-3.1962316
98.63938,-3.6267014
98.63938,-3.6267014
98.63938,-3.6267014
99.33588,-3.2126634
99.33588,-3.2126634
98.90842,-2.991747
98.90842,-2.991747
98.90842,-2.991747
98.34656,-3.0795689
98.34656,-3.0795689
99.07181,-3.2340548
99.07181,-3.2340548
99.07181,-3.2340548
98.858734,-3.0726407
98.858734,-3.0726407
98.858734,-3.0726407
98.858734,-3.0726407
98.858734,-3.0726407
99.22995,-3.685039
99.22995,-3.685039
99.22995,-3.685039
99.22995,-3.685039
99.22995,-3.685039
99.22995,-3.685039
98.95099,-3.6947339
98.95099,-3.6947339
98.95099,-3.6947339
98.95099,-3.6947339
98.95099,-3.6947339
98.88107,-3.634519
98.88107,-3.634519
98.88107,-3.634519
98.88107,-3.634519
98.88107,-3.634519
99.01617,-3.3601558
99.01617,-3.3601558
99.01617,-3.3601558
99.01617,-3.3601558
99.01617,-3.3601558
99.01617,-3.3601558
99.22099,-3.3023157
99.22099,-3.3023157
99.22099,-3.3023157
99.22099,-3.3023157
99.22099,-3.3023157
98.59323,-3.4910612
98.59323,-3.4910612
98.529045,-3.3376594
98.529045,-3.3376594
98.529045,-3.3376594
99.03638,-3.175136
99.03638,-3.175136
98.94891,-3.2612712
98.94891,-3.2612712
98.63328,-2.907787
98.63328,-2.907787
98.63328,-2.907787
98.64707,-2.9611697
98.64707,-2.9611697
99.254295,-2.1973133
99.254295,-2.1973133
99.23255,-2.168825
99.23255,-2.168825
99.23255,-2.168825
98.97441,-2.3062193
98.97441,-2.3062193
98.88192,-2.450581
98.88192,-2.450581
98.829704,-2.4308474
98.829704,-2.4308474
98.829704,-2.4308474
98.67049,-1.9582276
98.67049,-1.9582276
99.22866,-2.174722
99.22866,-2.174722
98.34853,-2.0895534
98.96466,-1.9288766
98.96466,-1.9288766
99.05666,-1.8628603
99.05666,-1.8628603
98.83507,-2.1494086
98.83507,-2.1494086
98.830284,-2.1625156
99.028854,-2.331688
99.028854,-2.331688
98.55162,-2.7068768
98.56045,-2.4136758
98.79342,-2.7619648
98.41172,-2.3287458
98.674,-1.9795839
98.90128,-2.7387931
98.90128,-2.7387931
98.90128,-2.7387931
98.86847,-2.7994232
98.86847,-2.7994232
98.86538,-2.7111073
98.86538,-2.7111073
98.86538,-2.7111073
98.87328,-2.9159038
98.87328,-2.9159038
98.87328,-2.9159038
98.92996,-2.5365193
98.92996,-2.5365193
99.09034,-2.8263383
99.09034,-2.8263383
99.09034,-2.8263383
98.75829,-3.5068243
98.75829,-3.5068243
98.75829,-3.5068243
98.75829,-3.5068243
98.75829,-3.5068243
98.77398,-3.2627988
98.77398,-3.2627988
98.77398,-3.2627988
98.77398,-3.2627988
98.979225,-3.2356865
98.979225,-3.2356865
98.979225,-3.2356865
98.979225,-3.2356865
98.979225,-3.2356865
98.854935,-3.2412817
